# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.housekeeperTurnsSkipped,1769794906310000000,1769794966326000000,0
DirectByteBufferAllocator.reclaimed,1769794906310000000,1769794966326000000,3
StorageLockContext.competingThreads.avg,1769794906310000000,1769794966326000000,0.0
FilePageCacheLockFree.housekeeperTurnsDone,1769794906310000000,1769794966326000000,0
FilePageCache.totalPageLoadsUs,1769794906310000000,1769794966326000000,157487
StreamlinedBlobStorage.recordsRelocated,1769794906310000000,1769794966326000000,0
StorageLockContext.competingThreads.90P,1769794906310000000,1769794966326000000,0
FilePageCache.disposedBuffers,1769794906310000000,1769794966326000000,3
MappedFileStorage.totalBytesMapped,1769794906310000000,1769794966326000000,261357568
FilePageCacheLockFree.totalHeapBytesAllocated,1769794906310000000,1769794966326000000,0
FilePageCacheLockFree.totalPagesReadMs,1769794906310000000,1769794966326000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1769794906310000000,1769794966326000000,0
FilePageCacheLockFree.totalBytesRead,1769794906310000000,1769794966326000000,0
FilePageCache.totalPageDisposalsUs,1769794906310000000,1769794966326000000,842
FilePageCache.pageHits,1769794906310000000,1769794966326000000,249
MappedFileStorage.storages,1769794906310000000,1769794966326000000,16
StreamlinedBlobStorage.recordsAllocated,1769794906310000000,1769794966326000000,769398
DirectByteBufferAllocator.misses,1769794906310000000,1769794966326000000,155
DirectByteBufferAllocator.hits,1769794906310000000,1769794966326000000,3
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1769794906310000000,1769794966326000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1769794906310000000,1769794966326000000,71268684
FilePageCache.uncachedFileAccess,1769794906310000000,1769794966326000000,119
FilePageCacheLockFree.totalPagesHandedOver,1769794906310000000,1769794966326000000,0
FilePageCacheLockFree.totalBytesRequested,1769794906310000000,1769794966326000000,0
FilePageCacheLockFree.totalPagesWritten,1769794906310000000,1769794966326000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1769794906310000000,1769794966326000000,160448512
FilePageCache.capacityInBytes,1769794906310000000,1769794966326000000,503316478
StorageLockContext.competingThreads.max,1769794906310000000,1769794966326000000,0
