# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
IndexesFlusher.totalFlushingTimeUs,1769510457994000000,1769510518064000000,62206
Indexing.writer_0.totalTimeSpentWritingMs,1769510457994000000,1769510518064000000,0
Indexes.entries.lookupDurationAvgMs,1769510457994000000,1769510518064000000,0.0
Indexes.stubs.lookupDuration90PMs,1769510457994000000,1769510518064000000,0.0
IndexesFlusher.totalFlushes,1769510457994000000,1769510518064000000,60
Indexes.stubs.lookupDurationMaxMs,1769510457994000000,1769510518064000000,0.0
Indexes.entries.lookupDurationMaxMs,1769510457994000000,1769510518064000000,0.0
Indexes.allKeys.lookupDuration90PMs,1769510457994000000,1769510518064000000,0.0
Indexing.writesQueuedMin,1769510457994000000,1769510518064000000,9223372036854775807
Indexing.writer_1.totalTimeSpentWritingMs,1769510457994000000,1769510518064000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1769510457994000000,1769510518064000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1769510457994000000,1769510518064000000,0
Indexes.allKeys.lookupDurationAvgMs,1769510457994000000,1769510518064000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1769510457994000000,1769510518064000000,0.0
Indexing.cache.totalCacheEvicted,1769510457994000000,1769510518064000000,401
Indexing.writesQueuedMax,1769510457994000000,1769510518064000000,0
Indexes.entries.lookupDuration90PMs,1769510457994000000,1769510518064000000,0.0
IndexesFlusher.totalFlushesRetried,1769510457994000000,1769510518064000000,0
IndexesFlusher.totalContentionQuotaSpent,1769510457994000000,1769510518064000000,0
Indexing.cache.totalCacheMisses,1769510457994000000,1769510518064000000,406
Indexes.entries.lookups,1769510457994000000,1769510518064000000,8
Indexes.allKeys.lookups,1769510457994000000,1769510518064000000,0
Indexing.cache.totalCacheAccesses,1769510457994000000,1769510518064000000,433
Indexing.totalTimeIndexersSleptMs,1769510457994000000,1769510518064000000,0
Indexes.stubs.lookupDurationAvgMs,1769510457994000000,1769510518064000000,0.0
Indexes.stubs.lookups,1769510457994000000,1769510518064000000,3
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1769510457994000000,1769510518064000000,2153
workspaceModel.update.unloaded.entities.ms,1769510457994000000,1769510518064000000,0
workspaceModel.full.replace.project.model.ms,1769510457994000000,1769510518064000000,2
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1769510457994000000,1769510518064000000,157
workspaceModel.initializing.ms,1769510457994000000,1769510518064000000,1
workspaceModel.cachedValueWithParameters.total.get.count,1769510457994000000,1769510518064000000,0
workspaceModel.collect.changes.ms,1769510457994000000,1769510518064000000,0
workspaceModel.cachedValue.from.cache.count,1769510457994000000,1769510518064000000,968
workspaceModel.entityStorageSnapshotImpl.instances.count,1769510457994000000,1769510518064000000,19
workspaceModel.check.recursive.update.ms,1769510457994000000,1769510518064000000,0
workspaceModel.cachedValueWithParameters.clear.count,1769510457994000000,1769510518064000000,0
workspaceModel.loading.total.ms,1769510457994000000,1769510518064000000,111
