# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
parser.RELAX-NG.size.bytes,1769611128604000000,1769611188620000000,117
parser.PythonStub.time.ns,1769611128604000000,1769611188620000000,227156972
DiskQueryRelay.tasksExecuted,1769611128604000000,1769611188620000000,11822
parser.HTML.size.bytes,1769611128604000000,1769611188620000000,7988
lexer.Python.size.bytes,1769611128604000000,1769611188620000000,12770216
parser.HTML.time.ns,1769611128604000000,1769611188620000000,14750304
lexer.Requirements.time.ns,1769611128604000000,1769611188620000000,89990
writeAction.median.wait.ms,1769611128604000000,1769611188620000000,0
writeAction.wait.ms,1769611128604000000,1769611188620000000,305
writeAction.max.wait.ms,1769611128604000000,1769611188620000000,265
parser.Requirements.size.bytes,1769611128604000000,1769611188620000000,26
lexer.Requirements.size.bytes,1769611128604000000,1769611188620000000,26
DiskQueryRelay.tasksRequested,1769611128604000000,1769611188620000000,11822
parser.RELAX-NG.time.ns,1769611128604000000,1769611188620000000,1169824
lexer.Python.time.ns,1769611128604000000,1769611188620000000,4201282471
DiskQueryRelay.taskWaitingTotalTimeUs,1769611128604000000,1769611188620000000,1409120
lexer.RELAX-NG.size.bytes,1769611128604000000,1769611188620000000,117
writeAction.count,1769611128604000000,1769611188620000000,568
lexer.PythonStub.time.ns,1769611128604000000,1769611188620000000,183505788
lexer.PythonStub.size.bytes,1769611128604000000,1769611188620000000,290697
lexer.RELAX-NG.time.ns,1769611128604000000,1769611188620000000,724992
parser.Requirements.time.ns,1769611128604000000,1769611188620000000,6137931
lexer.HTML.time.ns,1769611128604000000,1769611188620000000,12446143
parser.Python.size.bytes,1769611128604000000,1769611188620000000,12770216
DiskQueryRelay.taskExecutionTotalTimeUs,1769611128604000000,1769611188620000000,455592
parser.PythonStub.size.bytes,1769611128604000000,1769611188620000000,290697
parser.Python.time.ns,1769611128604000000,1769611188620000000,6483367805
lexer.HTML.size.bytes,1769611128604000000,1769611188620000000,7988
cacheStateStorage.set.counter,1769611128604000000,1769611188620000000,2
cacheStateStorage.get.counter,1769611128604000000,1769611188620000000,87
cacheStateStorage.set.duration,1769611128604000000,1769611188620000000,8
cacheStateStorage.get.duration,1769611128604000000,1769611188620000000,126
workspaceModel.cachedValue.from.cache.count,1769611128604000000,1769611188620000000,7436
workspaceModel.cachedValueWithParameters.calculated.count,1769611128604000000,1769611188620000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1769611128604000000,1769611188620000000,19
workspaceModel.full.replace.project.model.ms,1769611128604000000,1769611188620000000,2
workspaceModel.workspaceFileIndexData.instances.count,1769611128604000000,1769611188620000000,1
