# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.modify.entity.ms,1769719087313000000,1769719092175000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1769719087313000000,1769719092175000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1769719087313000000,1769719092175000000,5
workspaceModel.mutableEntityStorage.instances.count,1769719087313000000,1769719092175000000,7
jps.storage.jps.conf.reader.load.component.ms,1769719087313000000,1769719092175000000,4
jps.module.iml.entities.serializer.load.entities.ms,1769719087313000000,1769719092175000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1769719087313000000,1769719092175000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1769719087313000000,1769719092175000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1769719087313000000,1769719092175000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1769719087313000000,1769719092175000000,0
workspaceModel.save.cache.to.file.ms,1769719087313000000,1769719092175000000,17
workspaceModel.moduleManagerBridge.create.module.instance.ms,1769719087313000000,1769719092175000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1769719087313000000,1769719092175000000,4
workspaceModel.mutableEntityStorage.remove.entity.ms,1769719087313000000,1769719092175000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1769719087313000000,1769719092175000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1769719087313000000,1769719092175000000,1
jps.load.project.to.empty.storage.ms,1769719087313000000,1769719092175000000,0
jps.artifact.entities.serializer.load.entities.ms,1769719087313000000,1769719092175000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1769719087313000000,1769719092175000000,6
jps.app.storage.content.writer.save.component.ms,1769719087313000000,1769719092175000000,12
workspaceModel.moduleManagerBridge.build.module.graph.ms,1769719087313000000,1769719092175000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1769719087313000000,1769719092175000000,0
jps.global.handle.changed.events.ms,1769719087313000000,1769719092175000000,0
jps.load.initial.state.ms,1769719087313000000,1769719092175000000,66
workspaceModel.moduleBridge.update.option.ms,1769719087313000000,1769719092175000000,0
jps.project.serializers.load.ms,1769719087313000000,1769719092175000000,0
jps.artifact.entities.serializer.save.entities.ms,1769719087313000000,1769719092175000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1769719087313000000,1769719092175000000,0
jps.save.global.entities.ms,1769719087313000000,1769719092175000000,34
jps.facet.change.listener.before.change.events.ms,1769719087313000000,1769719092175000000,0
jps.global.initialize.library.bridges.ms,1769719087313000000,1769719092175000000,0
workspaceModel.sync.entities.ms,1769719087313000000,1769719092175000000,0
jps.reload.project.entities.ms,1769719087313000000,1769719092175000000,0
workspaceModel.mutableEntityStorage.entities.ms,1769719087313000000,1769719092175000000,1
jps.global.get.library.by.name.ms,1769719087313000000,1769719092175000000,0
jps.save.changed.project.entities.ms,1769719087313000000,1769719092175000000,1
workspaceModel.mutableEntityStorage.collect.changes.ms,1769719087313000000,1769719092175000000,0
jps.project.serializers.save.ms,1769719087313000000,1769719092175000000,1
workspaceModel.global.updates.count,1769719087313000000,1769719092175000000,0
workspaceModel.load.cache.from.file.ms,1769719087313000000,1769719092175000000,121
jps.global.handle.before.change.events.ms,1769719087313000000,1769719092175000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1769719087313000000,1769719092175000000,0
workspaceModel.do.save.caches.ms,1769719087313000000,1769719092175000000,21
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1769719087313000000,1769719092175000000,0
jps.module.iml.entities.serializer.save.entities.ms,1769719087313000000,1769719092175000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1769719087313000000,1769719092175000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1769719087313000000,1769719092175000000,0
