# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.max.wait.ms,1769817200875000000,1769817260952000000,2
lexer.HTML.size.bytes,1769817200875000000,1769817260952000000,18061
writeAction.count,1769817200875000000,1769817260952000000,64
DiskQueryRelay.taskExecutionTotalTimeUs,1769817200875000000,1769817260952000000,534329
parser.RELAX-NG.time.ns,1769817200875000000,1769817260952000000,1402346
parser.HTML.time.ns,1769817200875000000,1769817260952000000,27791358
parser.Requirements.time.ns,1769817200875000000,1769817260952000000,7002052
lexer.Python.size.bytes,1769817200875000000,1769817260952000000,684299
writeAction.median.wait.ms,1769817200875000000,1769817260952000000,0
DiskQueryRelay.tasksRequested,1769817200875000000,1769817260952000000,22843
FlushQueue.tasksExecuted,1769817200875000000,1769817260952000000,0
AWTEventQueue.dispatchTime90PNs,1769817200875000000,1769817260952000000,0
FlushQueue.waitingTime90PNs,1769817200875000000,1769817260952000000,0
FlushQueue.waitingTimeAvgNs,1769817200875000000,1769817260952000000,0.0
FlushQueue.executionTimeAvgNs,1769817200875000000,1769817260952000000,0.0
FlushQueue.waitingTimeMaxNs,1769817200875000000,1769817260952000000,0
AWTEventQueue.dispatchTimeTotalNS,1769817200875000000,1769817260952000000,6602304267
AWTEventQueue.dispatchTimeAvgNs,1769817200875000000,1769817260952000000,0.0
WriteAction.executionsCount,1769817200875000000,1769817260952000000,64
NonBlockingReadAction.finalizedExecutionTimeUs,1769817200875000000,1769817260952000000,609549
NonBlockingReadAction.finalizedExecutionsCount,1769817200875000000,1769817260952000000,637
NonBlockingReadAction.failedExecutionTimeUs,1769817200875000000,1769817260952000000,59008
FlushQueue.queueSizeAvg,1769817200875000000,1769817260952000000,0.0
FlushQueue.executionTime90PNs,1769817200875000000,1769817260952000000,0
ReadAction.executionsCount,1769817200875000000,1769817260952000000,324338
FlushQueue.queueSizeMax,1769817200875000000,1769817260952000000,0
FlushQueue.executionTimeMaxNs,1769817200875000000,1769817260952000000,0
