# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.counter,1769706784667000000,1769706844745000000,2
cacheStateStorage.set.duration,1769706784667000000,1769706844745000000,5
cacheStateStorage.get.duration,1769706784667000000,1769706844745000000,106
cacheStateStorage.get.counter,1769706784667000000,1769706844745000000,89
AWTEventQueue.eventsDispatched,1769706784667000000,1769706844745000000,3
NonBlockingReadAction.failedExecutionsCount,1769706784667000000,1769706844745000000,15
FlushQueue.executionTimeMaxNs,1769706784667000000,1769706844745000000,0
NonBlockingReadAction.failedExecutionTimeUs,1769706784667000000,1769706844745000000,194883
FlushQueue.queueSizeAvg,1769706784667000000,1769706844745000000,0.0
ReadAction.executionsCount,1769706784667000000,1769706844745000000,1075288
AWTEventQueue.dispatchTimeMaxNs,1769706784667000000,1769706844745000000,63999
FlushQueue.tasksExecuted,1769706784667000000,1769706844745000000,0
FlushQueue.waitingTimeMaxNs,1769706784667000000,1769706844745000000,0
AWTEventQueue.dispatchTime90PNs,1769706784667000000,1769706844745000000,63999
NonBlockingReadAction.finalizedExecutionTimeUs,1769706784667000000,1769706844745000000,849987
AWTEventQueue.dispatchTimeTotalNS,1769706784667000000,1769706844745000000,10713668545
FlushQueue.executionTimeAvgNs,1769706784667000000,1769706844745000000,0.0
FlushQueue.waitingTimeAvgNs,1769706784667000000,1769706844745000000,0.0
NonBlockingReadAction.finalizedExecutionsCount,1769706784667000000,1769706844745000000,1563
FlushQueue.queueSize90P,1769706784667000000,1769706844745000000,0
FlushQueue.waitingTime90PNs,1769706784667000000,1769706844745000000,0
FlushQueue.queueSizeMax,1769706784667000000,1769706844745000000,0
FlushQueue.executionTime90PNs,1769706784667000000,1769706844745000000,0
WriteAction.executionsCount,1769706784667000000,1769706844745000000,17
AWTEventQueue.dispatchTimeAvgNs,1769706784667000000,1769706844745000000,49365.333333333336
writeAction.max.wait.ms,1769706784667000000,1769706844745000000,13
parser.PythonStub.size.bytes,1769706784667000000,1769706844745000000,209255
parser.RELAX-NG.time.ns,1769706784667000000,1769706844745000000,1180224
lexer.PythonStub.size.bytes,1769706784667000000,1769706844745000000,209255
lexer.HTML.size.bytes,1769706784667000000,1769706844745000000,7330
parser.HTML.size.bytes,1769706784667000000,1769706844745000000,7330
writeAction.median.wait.ms,1769706784667000000,1769706844745000000,0
lexer.PythonStub.time.ns,1769706784667000000,1769706844745000000,35711099
parser.Python.time.ns,1769706784667000000,1769706844745000000,318659686
writeAction.wait.ms,1769706784667000000,1769706844745000000,17
DiskQueryRelay.taskWaitingTotalTimeUs,1769706784667000000,1769706844745000000,1612405
lexer.Python.time.ns,1769706784667000000,1769706844745000000,99814556
lexer.Requirements.size.bytes,1769706784667000000,1769706844745000000,13
writeAction.count,1769706784667000000,1769706844745000000,17
lexer.RELAX-NG.time.ns,1769706784667000000,1769706844745000000,840194
DiskQueryRelay.tasksRequested,1769706784667000000,1769706844745000000,23545
parser.Requirements.size.bytes,1769706784667000000,1769706844745000000,13
parser.PythonStub.time.ns,1769706784667000000,1769706844745000000,57841195
parser.Python.size.bytes,1769706784667000000,1769706844745000000,103926
lexer.Requirements.time.ns,1769706784667000000,1769706844745000000,156885
lexer.RELAX-NG.size.bytes,1769706784667000000,1769706844745000000,117
parser.Requirements.time.ns,1769706784667000000,1769706844745000000,5530531
lexer.Python.size.bytes,1769706784667000000,1769706844745000000,103926
parser.HTML.time.ns,1769706784667000000,1769706844745000000,15534360
lexer.HTML.time.ns,1769706784667000000,1769706844745000000,5339179
DiskQueryRelay.taskExecutionTotalTimeUs,1769706784667000000,1769706844745000000,802251
parser.RELAX-NG.size.bytes,1769706784667000000,1769706844745000000,117
DiskQueryRelay.tasksExecuted,1769706784667000000,1769706844745000000,23545
FileNameCache.queries,1769706784667000000,1769706844745000000,512960
VFS.contentStorage.recordsStoredSize,1769706784667000000,1769706844745000000,0
VFS.fileByIdCache.misses,1769706784667000000,1769706844745000000,4375
VFS.contentStorage.recordsDeduplicated,1769706784667000000,1769706844745000000,0
VFS.contentStorage.recordsRead,1769706784667000000,1769706844745000000,116
VFS.invertedFileNameIndex.requests,1769706784667000000,1769706844745000000,0
VFS.contentStorage.recordsStored,1769706784667000000,1769706844745000000,0
VFS.contentStorage.recordsUncompressedSize,1769706784667000000,1769706844745000000,0
VFS.fileChildByName,1769706784667000000,1769706844745000000,147404
FileNameCache.totalMisses,1769706784667000000,1769706844745000000,2880
VFS.contentStorage.recordsStoredCompressed,1769706784667000000,1769706844745000000,0
