# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalPagesAllocated,1769801602708000000,1769801662139000000,0
StreamlinedBlobStorage.recordsRelocated,1769801602708000000,1769801662139000000,0
FilePageCacheLockFree.totalBytesRequested,1769801602708000000,1769801662139000000,0
StorageLockContext.competingThreads.avg,1769801602708000000,1769801662139000000,0.0
FilePageCacheLockFree.totalPagesReadMs,1769801602708000000,1769801662139000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1769801602708000000,1769801662139000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1769801602708000000,1769801662139000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1769801602708000000,1769801662139000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1769801602708000000,1769801662139000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1769801602708000000,1769801662139000000,0
DirectByteBufferAllocator.reclaimed,1769801602708000000,1769801662139000000,3
DirectByteBufferAllocator.hits,1769801602708000000,1769801662139000000,3
FilePageCacheLockFree.totalPagesWritten,1769801602708000000,1769801662139000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1769801602708000000,1769801662139000000,154157056
FilePageCacheLockFree.totalPagesRequestsMs,1769801602708000000,1769801662139000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1769801602708000000,1769801662139000000,36511544
FilePageCacheLockFree.totalPagesWriteMs,1769801602708000000,1769801662139000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1769801602708000000,1769801662139000000,0
FilePageCacheLockFree.totalBytesRead,1769801602708000000,1769801662139000000,0
FilePageCacheLockFree.heapBytesInUse,1769801602708000000,1769801662139000000,0
FilePageCacheLockFree.nativeBytesInUse,1769801602708000000,1769801662139000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1769801602708000000,1769801662139000000,0
FilePageCacheLockFree.totalPagesHandedOver,1769801602708000000,1769801662139000000,0
FilePageCacheLockFree.totalBytesWritten,1769801602708000000,1769801662139000000,0
FilePageCache.maxCacheSizeInBytes,1769801602708000000,1769801662139000000,154157056
FilePageCache.uncachedFileAccess,1769801602708000000,1769801662139000000,113
FilePageCacheLockFree.totalPageAllocationsWaited,1769801602708000000,1769801662139000000,0
FilePageCache.capacityInBytes,1769801602708000000,1769801662139000000,503316478
DirectByteBufferAllocator.misses,1769801602708000000,1769801662139000000,149
DirectByteBufferAllocator.disposed,1769801602708000000,1769801662139000000,0
MappedFileStorage.totalBytesMapped,1769801602708000000,1769801662139000000,261357568
StorageLockContext.competingThreads.max,1769801602708000000,1769801662139000000,0
FilePageCache.totalPageDisposalsUs,1769801602708000000,1769801662139000000,1294
MappedFileStorage.totalTimeSpentOnMappingUs,1769801602708000000,1769801662139000000,14362
StreamlinedBlobStorage.recordsDeleted,1769801602708000000,1769801662139000000,59
FileChannelInterruptsRetryer.totalRetriedAttempts,1769801602708000000,1769801662139000000,0
FilePageCache.maxRegisteredFiles,1769801602708000000,1769801662139000000,252
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1769801602708000000,1769801662139000000,71268824
FilePageCache.totalPageLoadsUs,1769801602708000000,1769801662139000000,254896
MappedFileStorage.storages,1769801602708000000,1769801662139000000,16
FilePageCache.disposedBuffers,1769801602708000000,1769801662139000000,3
FilePageCacheLockFree.housekeeperTurnsDone,1769801602708000000,1769801662139000000,0
FilePageCache.pageHits,1769801602708000000,1769801662139000000,167
FilePageCacheLockFree.housekeeperTimeSpentMs,1769801602708000000,1769801662139000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1769801602708000000,1769801662139000000,0
FilePageCacheLockFree.totalPagesRequested,1769801602708000000,1769801662139000000,0
StorageLockContext.competingThreads.90P,1769801602708000000,1769801662139000000,0
FilePageCache.pageLoads,1769801602708000000,1769801662139000000,152
StreamlinedBlobStorage.recordsAllocated,1769801602708000000,1769801662139000000,769400
FilePageCache.pageFastCacheHits,1769801602708000000,1769801662139000000,16176
MappedFileStorage.totalPagesMapped,1769801602708000000,1769801662139000000,21
FilePageCacheLockFree.totalPagesReclaimed,1769801602708000000,1769801662139000000,0
Indexes.entries.lookupDuration90PMs,1769801602708000000,1769801662139000000,0.0
Indexes.stubs.lookupDurationAvgMs,1769801602708000000,1769801662139000000,0.0
Indexes.entries.lookupDurationMaxMs,1769801602708000000,1769801662139000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1769801602708000000,1769801662139000000,0.0
Indexing.cache.totalCacheEvicted,1769801602708000000,1769801662139000000,9950
Indexes.allKeys.lookups,1769801602708000000,1769801662139000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1769801602708000000,1769801662139000000,5
Indexes.stubs.lookupDurationMaxMs,1769801602708000000,1769801662139000000,0.0
Indexing.writesQueuedMax,1769801602708000000,1769801662139000000,0
Indexes.stubs.lookupDuration90PMs,1769801602708000000,1769801662139000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1769801602708000000,1769801662139000000,0
Indexing.cache.totalCacheAccesses,1769801602708000000,1769801662139000000,10218
Indexing.writer_1.totalTimeSpentWritingMs,1769801602708000000,1769801662139000000,3
Indexes.allKeys.lookupDurationMaxMs,1769801602708000000,1769801662139000000,0.0
IndexesFlusher.totalFlushesRetried,1769801602708000000,1769801662139000000,0
Indexes.allKeys.lookupDuration90PMs,1769801602708000000,1769801662139000000,0.0
Indexing.writesQueuedMin,1769801602708000000,1769801662139000000,9223372036854775807
Indexing.totalTimeIndexersSleptMs,1769801602708000000,1769801662139000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1769801602708000000,1769801662139000000,4
Indexing.cache.totalCacheMisses,1769801602708000000,1769801662139000000,9984
Indexes.entries.lookupDurationAvgMs,1769801602708000000,1769801662139000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1769801602708000000,1769801662139000000,0
IndexesFlusher.totalFlushingTimeUs,1769801602708000000,1769801662139000000,161752
IndexesFlusher.totalFlushes,1769801602708000000,1769801662139000000,59
Indexes.entries.lookups,1769801602708000000,1769801662139000000,106
Indexes.stubs.lookups,1769801602708000000,1769801662139000000,0
cacheStateStorage.set.counter,1769801602708000000,1769801662139000000,2
cacheStateStorage.get.duration,1769801602708000000,1769801662139000000,91
cacheStateStorage.set.duration,1769801602708000000,1769801662139000000,3
cacheStateStorage.get.counter,1769801602708000000,1769801662139000000,85
JVM.totalSafepointCount,1769801602708000000,1769801662139000000,169
OS.loadAverage,1769801602708000000,1769801662139000000,1.39453125
JVM.maxThreadCount,1769801602708000000,1769801662139000000,150
JVM.maxHeapBytes,1769801602708000000,1769801662139000000,4196401152
JVM.totalDirectByteBuffersBytes,1769801602708000000,1769801662139000000,157831306
JVM.GC.collectionTimesMs,1769801602708000000,1769801662139000000,232
JVM.totalBytesAllocated,1769801602708000000,1769801662139000000,2093398704
JVM.totalTimeToSafepointsMs,1769801602708000000,1769801662139000000,29
JVM.totalTimeAtSafepointsMs,1769801602708000000,1769801662139000000,256
JVM.usedNativeBytes,1769801602708000000,1769801662139000000,349871208
JVM.newThreadsCount,1769801602708000000,1769801662139000000,156
JVM.GC.collections,1769801602708000000,1769801662139000000,41
JVM.usedHeapBytes,1769801602708000000,1769801662139000000,392694648
JVM.threadCount,1769801602708000000,1769801662139000000,148
JVM.totalCpuTimeMs,1769801602708000000,1769801662139000000,46370
workspaceModel.workspaceFileIndexData.processFileSets.ms,1769801602708000000,1769801662139000000,0
workspaceModel.updates.precise.ms,1769801602708000000,1769801662139000000,6
workspaceModel.cachedValue.from.cache.count,1769801602708000000,1769801662139000000,8968
workspaceModel.workspaceFileIndexData.markDirty.ms,1769801602708000000,1769801662139000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1769801602708000000,1769801662139000000,197
workspaceModel.workspaceFileIndexData.instances.count,1769801602708000000,1769801662139000000,1
workspaceModel.cachedValueWithParameters.calculated.count,1769801602708000000,1769801662139000000,0
workspaceModel.collect.changes.ms,1769801602708000000,1769801662139000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1769801602708000000,1769801662139000000,0
workspaceModel.update.unloaded.entities.ms,1769801602708000000,1769801662139000000,0
workspaceModel.workspaceFileIndexData.init.ms,1769801602708000000,1769801662139000000,113
workspaceModel.entityStorageSnapshotImpl.instances.count,1769801602708000000,1769801662139000000,19
workspaceModel.pre.handlers.ms,1769801602708000000,1769801662139000000,0
workspaceModel.loading.from.cache.ms,1769801602708000000,1769801662139000000,104
workspaceModel.cachedValueWithParameters.clear.count,1769801602708000000,1769801662139000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1769801602708000000,1769801662139000000,0
workspaceModel.updates.ms,1769801602708000000,1769801662139000000,31
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1769801602708000000,1769801662139000000,0
workspaceModel.on.before.changed.ms,1769801602708000000,1769801662139000000,15
workspaceModel.on.changed.ms,1769801602708000000,1769801662139000000,7
workspaceModel.workspaceFileIndexData.getPackageName.ms,1769801602708000000,1769801662139000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1769801602708000000,1769801662139000000,0
workspaceModel.cachedValue.calculated.count,1769801602708000000,1769801662139000000,8
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1769801602708000000,1769801662139000000,0
workspaceModel.init.bridges.ms,1769801602708000000,1769801662139000000,2
workspaceModel.loading.total.ms,1769801602708000000,1769801662139000000,112
workspaceModel.replace.project.model.ms,1769801602708000000,1769801662139000000,0
workspaceModel.initializing.ms,1769801602708000000,1769801662139000000,2
workspaceModel.cachedValue.total.get.count,1769801602708000000,1769801662139000000,8976
workspaceModel.updates.count,1769801602708000000,1769801662139000000,3
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1769801602708000000,1769801662139000000,2738
workspaceModel.to.snapshot.ms,1769801602708000000,1769801662139000000,0
workspaceModel.check.recursive.update.ms,1769801602708000000,1769801662139000000,0
workspaceModel.cachedValue.clear.count,1769801602708000000,1769801662139000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1769801602708000000,1769801662139000000,0
workspaceModel.full.replace.project.model.ms,1769801602708000000,1769801662139000000,2
FlushQueue.queueSizeMax,1769801602708000000,1769801662139000000,0
AWTEventQueue.dispatchTimeTotalNS,1769801602708000000,1769801662139000000,6397560243
AWTEventQueue.dispatchTime90PNs,1769801602708000000,1769801662139000000,0
AWTEventQueue.dispatchTimeAvgNs,1769801602708000000,1769801662139000000,0.0
FlushQueue.queueSize90P,1769801602708000000,1769801662139000000,0
FlushQueue.executionTimeMaxNs,1769801602708000000,1769801662139000000,0
FlushQueue.waitingTimeMaxNs,1769801602708000000,1769801662139000000,0
FlushQueue.tasksExecuted,1769801602708000000,1769801662139000000,0
WriteAction.executionsCount,1769801602708000000,1769801662139000000,16
FlushQueue.executionTimeAvgNs,1769801602708000000,1769801662139000000,0.0
ReadAction.executionsCount,1769801602708000000,1769801662139000000,471604
AWTEventQueue.dispatchTimeMaxNs,1769801602708000000,1769801662139000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1769801602708000000,1769801662139000000,368548
FlushQueue.waitingTime90PNs,1769801602708000000,1769801662139000000,0
FlushQueue.executionTime90PNs,1769801602708000000,1769801662139000000,0
NonBlockingReadAction.failedExecutionsCount,1769801602708000000,1769801662139000000,2
NonBlockingReadAction.finalizedExecutionsCount,1769801602708000000,1769801662139000000,677
FlushQueue.waitingTimeAvgNs,1769801602708000000,1769801662139000000,0.0
AWTEventQueue.eventsDispatched,1769801602708000000,1769801662139000000,0
FlushQueue.queueSizeAvg,1769801602708000000,1769801662139000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1769801602708000000,1769801662139000000,1694
DiskQueryRelay.taskExecutionTotalTimeUs,1769801602708000000,1769801662139000000,264095
writeAction.count,1769801602708000000,1769801662139000000,16
DiskQueryRelay.tasksRequested,1769801602708000000,1769801662139000000,2191
lexer.HTML.size.bytes,1769801602708000000,1769801662139000000,4923
parser.Requirements.size.bytes,1769801602708000000,1769801662139000000,39
parser.HTML.time.ns,1769801602708000000,1769801662139000000,17304784
parser.HTML.size.bytes,1769801602708000000,1769801662139000000,4923
DiskQueryRelay.tasksExecuted,1769801602708000000,1769801662139000000,2191
parser.Python.size.bytes,1769801602708000000,1769801662139000000,117442
lexer.HTML.time.ns,1769801602708000000,1769801662139000000,13284834
lexer.Python.size.bytes,1769801602708000000,1769801662139000000,117442
lexer.RELAX-NG.size.bytes,1769801602708000000,1769801662139000000,117
parser.Python.time.ns,1769801602708000000,1769801662139000000,363104773
lexer.Requirements.size.bytes,1769801602708000000,1769801662139000000,39
