# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexing.cache.totalCacheEvicted,1769608528884000000,1769608588947000000,268980
Indexing.writesQueuedMax,1769608528884000000,1769608588947000000,0
Indexes.stubs.lookups,1769608528884000000,1769608588947000000,4
Indexing.writer_2.totalTimeSpentWritingMs,1769608528884000000,1769608588947000000,1614
Indexing.writer_3.totalTimeSpentWritingMs,1769608528884000000,1769608588947000000,86
Indexes.allKeys.lookupDurationMaxMs,1769608528884000000,1769608588947000000,0.0
Indexes.entries.lookupDurationMaxMs,1769608528884000000,1769608588947000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1769608528884000000,1769608588947000000,908
Indexing.writer_0.totalTimeSpentWritingMs,1769608528884000000,1769608588947000000,1749
Indexes.allKeys.lookups,1769608528884000000,1769608588947000000,0
Indexes.entries.lookups,1769608528884000000,1769608588947000000,13
Indexing.cache.totalCacheAccesses,1769608528884000000,1769608588947000000,1304632
Indexes.entries.lookupDuration90PMs,1769608528884000000,1769608588947000000,0.0
IndexesFlusher.totalFlushingTimeUs,1769608528884000000,1769608588947000000,778798
Indexing.totalTimeIndexersSleptMs,1769608528884000000,1769608588947000000,0
IndexesFlusher.totalContentionQuotaSpent,1769608528884000000,1769608588947000000,3
Indexes.allKeys.lookupDuration90PMs,1769608528884000000,1769608588947000000,0.0
Indexes.entries.lookupDurationAvgMs,1769608528884000000,1769608588947000000,0.0
IndexesFlusher.totalFlushes,1769608528884000000,1769608588947000000,102
Indexes.stubs.lookupDurationMaxMs,1769608528884000000,1769608588947000000,0.0
Indexes.stubs.lookupDuration90PMs,1769608528884000000,1769608588947000000,0.0
Indexing.cache.totalCacheMisses,1769608528884000000,1769608588947000000,268984
Indexes.stubs.lookupDurationAvgMs,1769608528884000000,1769608588947000000,0.0
IndexesFlusher.totalFlushesRetried,1769608528884000000,1769608588947000000,0
Indexes.allKeys.lookupDurationAvgMs,1769608528884000000,1769608588947000000,0.0
Indexing.writesQueuedMin,1769608528884000000,1769608588947000000,9223372036854775807
JVM.maxThreadCount,1769608528884000000,1769608588947000000,148
JVM.GC.collectionTimesMs,1769608528884000000,1769608588947000000,434
JVM.GC.collections,1769608528884000000,1769608588947000000,62
OS.loadAverage,1769608528884000000,1769608588947000000,1.37109375
JVM.totalSafepointCount,1769608528884000000,1769608588947000000,221
JVM.threadCount,1769608528884000000,1769608588947000000,145
JVM.totalTimeAtSafepointsMs,1769608528884000000,1769608588947000000,487
JVM.newThreadsCount,1769608528884000000,1769608588947000000,169
JVM.totalBytesAllocated,1769608528884000000,1769608588947000000,6954982456
JVM.totalCpuTimeMs,1769608528884000000,1769608588947000000,88190
JVM.usedNativeBytes,1769608528884000000,1769608588947000000,354437224
JVM.maxHeapBytes,1769608528884000000,1769608588947000000,4196401152
JVM.totalDirectByteBuffersBytes,1769608528884000000,1769608588947000000,177892685
JVM.totalTimeToSafepointsMs,1769608528884000000,1769608588947000000,148
JVM.usedHeapBytes,1769608528884000000,1769608588947000000,594870752
AWTEventQueue.dispatchTimeTotalNS,1769608528884000000,1769608588947000000,5755128059
FlushQueue.executionTimeAvgNs,1769608528884000000,1769608588947000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1769608528884000000,1769608588947000000,170338
FlushQueue.queueSizeMax,1769608528884000000,1769608588947000000,0
ReadAction.executionsCount,1769608528884000000,1769608588947000000,140281
FlushQueue.waitingTimeAvgNs,1769608528884000000,1769608588947000000,0.0
AWTEventQueue.dispatchTimeMaxNs,1769608528884000000,1769608588947000000,67071
FlushQueue.tasksExecuted,1769608528884000000,1769608588947000000,0
WriteAction.executionsCount,1769608528884000000,1769608588947000000,643
AWTEventQueue.dispatchTimeAvgNs,1769608528884000000,1769608588947000000,54186.666666666664
NonBlockingReadAction.finalizedExecutionsCount,1769608528884000000,1769608588947000000,361
AWTEventQueue.eventsDispatched,1769608528884000000,1769608588947000000,3
FlushQueue.queueSizeAvg,1769608528884000000,1769608588947000000,0.0
FlushQueue.executionTimeMaxNs,1769608528884000000,1769608588947000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1769608528884000000,1769608588947000000,614386
NonBlockingReadAction.failedExecutionsCount,1769608528884000000,1769608588947000000,460
FlushQueue.queueSize90P,1769608528884000000,1769608588947000000,0
FlushQueue.waitingTime90PNs,1769608528884000000,1769608588947000000,0
AWTEventQueue.dispatchTime90PNs,1769608528884000000,1769608588947000000,67071
FlushQueue.waitingTimeMaxNs,1769608528884000000,1769608588947000000,0
FlushQueue.executionTime90PNs,1769608528884000000,1769608588947000000,0
VFS.contentStorage.recordsUncompressedSize,1769608528884000000,1769608588947000000,1036356
VFS.fileByIdCache.misses,1769608528884000000,1769608588947000000,802
VFS.contentStorage.recordsReadDecompressed,1769608528884000000,1769608588947000000,26
VFS.contentStorage.recordsStoredSize,1769608528884000000,1769608588947000000,429472
VFS.contentStorage.recordsReadSize,1769608528884000000,1769608588947000000,773686
FileNameCache.queries,1769608528884000000,1769608588947000000,1173184
VFS.contentStorage.recordsDecompressionTimeUs,1769608528884000000,1769608588947000000,10050
VFS.contentStorage.recordsDeduplicated,1769608528884000000,1769608588947000000,14
VFS.contentStorage.recordsRead,1769608528884000000,1769608588947000000,73
VFS.contentStorage.recordsStored,1769608528884000000,1769608588947000000,35
VFS.invertedFileNameIndex.requests,1769608528884000000,1769608588947000000,0
VFS.contentStorage.recordsStoredCompressed,1769608528884000000,1769608588947000000,23
VFS.fileChildByName,1769608528884000000,1769608588947000000,251081
VFS.fileByIdCache.hits,1769608528884000000,1769608588947000000,6
FileNameCache.totalMisses,1769608528884000000,1769608588947000000,6016
workspaceModel.global.apply.state.to.project.builder.ms,1769608528884000000,1769608588947000000,3
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1769608528884000000,1769608588947000000,0
jps.apply.loaded.storage.ms,1769608528884000000,1769608588947000000,7
jps.global.handle.changed.events.ms,1769608528884000000,1769608588947000000,0
jps.global.initialize.library.bridges.ms,1769608528884000000,1769608588947000000,1
jps.facet.change.listener.init.bridge.ms,1769608528884000000,1769608588947000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1769608528884000000,1769608588947000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1769608528884000000,1769608588947000000,0
jps.module.iml.entities.serializer.load.entities.ms,1769608528884000000,1769608588947000000,15
workspaceModel.mutableEntityStorage.referrers.ms,1769608528884000000,1769608588947000000,0
jps.library.entities.serializer.load.entities.ms,1769608528884000000,1769608588947000000,0
workspaceModel.global.updates.ms,1769608528884000000,1769608588947000000,10
jps.project.serializers.save.ms,1769608528884000000,1769608588947000000,1
jps.artifact.entities.serializer.save.entities.ms,1769608528884000000,1769608588947000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1769608528884000000,1769608588947000000,0
jps.save.changed.project.entities.ms,1769608528884000000,1769608588947000000,1
workspaceModel.load.cache.metadata.from.file.ms,1769608528884000000,1769608588947000000,14
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1769608528884000000,1769608588947000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1769608528884000000,1769608588947000000,1
workspaceModel.global.updates.count,1769608528884000000,1769608588947000000,2
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1769608528884000000,1769608588947000000,1
workspaceModel.sync.entities.ms,1769608528884000000,1769608588947000000,0
jps.facet.change.listener.process.change.events.ms,1769608528884000000,1769608588947000000,0
jps.global.get.libraries.ms,1769608528884000000,1769608588947000000,0
jps.app.storage.content.writer.save.component.ms,1769608528884000000,1769608588947000000,12
workspaceModel.global.apply.state.to.project.ms,1769608528884000000,1769608588947000000,41
workspaceModel.mutableEntityStorage.has.same.entities.ms,1769608528884000000,1769608588947000000,0
workspaceModel.moduleBridge.update.option.ms,1769608528884000000,1769608588947000000,0
jps.library.entities.serializer.save.entities.ms,1769608528884000000,1769608588947000000,0
jps.global.handle.before.change.events.ms,1769608528884000000,1769608588947000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1769608528884000000,1769608588947000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1769608528884000000,1769608588947000000,10
workspaceModel.mutableEntityStorage.entities.by.source.ms,1769608528884000000,1769608588947000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1769608528884000000,1769608588947000000,0
workspaceModel.orphan.listener.update.ms,1769608528884000000,1769608588947000000,3
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1769608528884000000,1769608588947000000,3
workspaceModel.mutableEntityStorage.resolve.ms,1769608528884000000,1769608588947000000,0
jps.global.get.library.by.name.ms,1769608528884000000,1769608588947000000,0
jps.save.global.entities.ms,1769608528884000000,1769608588947000000,25
workspaceModel.moduleBridge.before.changed.ms,1769608528884000000,1769608588947000000,0
jps.global.get.library.ms,1769608528884000000,1769608588947000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1769608528884000000,1769608588947000000,0
jps.storage.jps.conf.reader.load.component.ms,1769608528884000000,1769608588947000000,4
workspaceModel.mutableEntityStorage.to.snapshot.ms,1769608528884000000,1769608588947000000,3
workspaceModel.do.save.caches.ms,1769608528884000000,1769608588947000000,41
workspaceModel.moduleManagerBridge.build.module.graph.ms,1769608528884000000,1769608588947000000,0
jps.reload.project.entities.ms,1769608528884000000,1769608588947000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1769608528884000000,1769608588947000000,40
workspaceModel.mutableEntityStorage.entities.ms,1769608528884000000,1769608588947000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1769608528884000000,1769608588947000000,422
workspaceModel.mutableEntityStorage.remove.entity.ms,1769608528884000000,1769608588947000000,0
jps.global.initialize.library.bridges.after.loading.ms,1769608528884000000,1769608588947000000,0
workspaceModel.save.cache.to.file.ms,1769608528884000000,1769608588947000000,56
jps.load.project.to.empty.storage.ms,1769608528884000000,1769608588947000000,30
jps.project.serializers.load.ms,1769608528884000000,1769608588947000000,25
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1769608528884000000,1769608588947000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1769608528884000000,1769608588947000000,3
jps.artifact.entities.serializer.load.entities.ms,1769608528884000000,1769608588947000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1769608528884000000,1769608588947000000,21
workspaceModel.moduleManagerBridge.newModule.ms,1769608528884000000,1769608588947000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1769608528884000000,1769608588947000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1769608528884000000,1769608588947000000,33
