# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DiskQueryRelay.tasksExecuted,1769508721085000000,1769508781090000000,1431
lexer.RELAX-NG.time.ns,1769508721085000000,1769508781090000000,55502064
DiskQueryRelay.taskExecutionTotalTimeUs,1769508721085000000,1769508781090000000,102857
writeAction.count,1769508721085000000,1769508781090000000,73
parser.XML.time.ns,1769508721085000000,1769508781090000000,3874771
parser.Python.time.ns,1769508721085000000,1769508781090000000,806757326
lexer.HTML.size.bytes,1769508721085000000,1769508781090000000,2969
writeAction.median.wait.ms,1769508721085000000,1769508781090000000,0
lexer.IgnoreLang.size.bytes,1769508721085000000,1769508781090000000,0
parser.XML.size.bytes,1769508721085000000,1769508781090000000,45
parser.RELAX-NG.size.bytes,1769508721085000000,1769508781090000000,126627
lexer.XML.time.ns,1769508721085000000,1769508781090000000,492830
parser.HTML.time.ns,1769508721085000000,1769508781090000000,13274294
writeAction.wait.ms,1769508721085000000,1769508781090000000,4
lexer.Python.time.ns,1769508721085000000,1769508781090000000,145487444
DiskQueryRelay.tasksRequested,1769508721085000000,1769508781090000000,1431
lexer.Python.size.bytes,1769508721085000000,1769508781090000000,422039
parser.HTML.size.bytes,1769508721085000000,1769508781090000000,2969
lexer.HTML.time.ns,1769508721085000000,1769508781090000000,19815363
parser.IgnoreLang.size.bytes,1769508721085000000,1769508781090000000,0
parser.RELAX-NG.time.ns,1769508721085000000,1769508781090000000,81367246
writeAction.max.wait.ms,1769508721085000000,1769508781090000000,2
DiskQueryRelay.taskWaitingTotalTimeUs,1769508721085000000,1769508781090000000,250340
lexer.XML.size.bytes,1769508721085000000,1769508781090000000,45
parser.Python.size.bytes,1769508721085000000,1769508781090000000,422039
lexer.RELAX-NG.size.bytes,1769508721085000000,1769508781090000000,126627
parser.IgnoreLang.time.ns,1769508721085000000,1769508781090000000,910286
lexer.IgnoreLang.time.ns,1769508721085000000,1769508781090000000,11071
FlushQueue.queueSizeAvg,1769508721085000000,1769508781090000000,18.784471565827058
WriteAction.executionsCount,1769508721085000000,1769508781090000000,73
FlushQueue.executionTimeAvgNs,1769508721085000000,1769508781090000000,528139.9735133732
FlushQueue.waitingTimeAvgNs,1769508721085000000,1769508781090000000,3.548677329317061E7
NonBlockingReadAction.failedExecutionTimeUs,1769508721085000000,1769508781090000000,33171
FlushQueue.queueSize90P,1769508721085000000,1769508781090000000,80
AWTEventQueue.eventsDispatched,1769508721085000000,1769508781090000000,7113
NonBlockingReadAction.finalizedExecutionTimeUs,1769508721085000000,1769508781090000000,326968
AWTEventQueue.dispatchTimeMaxNs,1769508721085000000,1769508781090000000,278921215
FlushQueue.tasksExecuted,1769508721085000000,1769508781090000000,3851
AWTEventQueue.dispatchTimeTotalNS,1769508721085000000,1769508781090000000,4388339887
FlushQueue.queueSizeMax,1769508721085000000,1769508781090000000,160
ReadAction.executionsCount,1769508721085000000,1769508781090000000,54548
AWTEventQueue.dispatchTimeAvgNs,1769508721085000000,1769508781090000000,616969.1865598201
NonBlockingReadAction.finalizedExecutionsCount,1769508721085000000,1769508781090000000,63
AWTEventQueue.dispatchTime90PNs,1769508721085000000,1769508781090000000,479231
FlushQueue.executionTimeMaxNs,1769508721085000000,1769508781090000000,276824063
FlushQueue.executionTime90PNs,1769508721085000000,1769508781090000000,268287
FlushQueue.waitingTimeMaxNs,1769508721085000000,1769508781090000000,725614591
NonBlockingReadAction.failedExecutionsCount,1769508721085000000,1769508781090000000,5
FlushQueue.waitingTime90PNs,1769508721085000000,1769508781090000000,145752063
FilePageCacheLockFree.nativeBytesInUse,1769508721085000000,1769508781090000000,0
FilePageCacheLockFree.heapBytesInUse,1769508721085000000,1769508781090000000,0
FilePageCache.pageLoads,1769508721085000000,1769508781090000000,127
MappedFileStorage.totalBytesMapped,1769508721085000000,1769508781090000000,261357568
StorageLockContext.competingThreads.90P,1769508721085000000,1769508781090000000,0
FilePageCacheLockFree.totalPagesHandedOver,1769508721085000000,1769508781090000000,0
StreamlinedBlobStorage.recordsAllocated,1769508721085000000,1769508781090000000,768526
FilePageCache.totalPageDisposalsUs,1769508721085000000,1769508781090000000,290
MappedFileStorage.totalTimeSpentOnMappingUs,1769508721085000000,1769508781090000000,12649
FilePageCacheLockFree.totalBytesRequested,1769508721085000000,1769508781090000000,0
FilePageCacheLockFree.totalPagesWritten,1769508721085000000,1769508781090000000,0
FilePageCacheLockFree.totalPagesAllocated,1769508721085000000,1769508781090000000,0
DirectByteBufferAllocator.misses,1769508721085000000,1769508781090000000,124
FilePageCacheLockFree.housekeeperTurnsDone,1769508721085000000,1769508781090000000,0
FilePageCacheLockFree.totalPagesRequested,1769508721085000000,1769508781090000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1769508721085000000,1769508781090000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1769508721085000000,1769508781090000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1769508721085000000,1769508781090000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1769508721085000000,1769508781090000000,126902272
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1769508721085000000,1769508781090000000,71207508
FilePageCache.disposedBuffers,1769508721085000000,1769508781090000000,3
FilePageCacheLockFree.totalHeapBytesAllocated,1769508721085000000,1769508781090000000,0
DirectByteBufferAllocator.hits,1769508721085000000,1769508781090000000,3
FilePageCacheLockFree.totalPagesWriteMs,1769508721085000000,1769508781090000000,0
FilePageCache.uncachedFileAccess,1769508721085000000,1769508781090000000,89
MappedFileStorage.storages,1769508721085000000,1769508781090000000,16
FilePageCacheLockFree.totalPagesReadMs,1769508721085000000,1769508781090000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1769508721085000000,1769508781090000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1769508721085000000,1769508781090000000,0
MappedFileStorage.totalPagesMapped,1769508721085000000,1769508781090000000,21
FilePageCache.maxCacheSizeInBytes,1769508721085000000,1769508781090000000,126902272
FilePageCache.maxRegisteredFiles,1769508721085000000,1769508781090000000,252
StorageLockContext.competingThreads.max,1769508721085000000,1769508781090000000,0
FilePageCacheLockFree.totalPagesReclaimed,1769508721085000000,1769508781090000000,0
FilePageCache.capacityInBytes,1769508721085000000,1769508781090000000,503316478
FilePageCache.pageLoadsAboveSizeThreshold,1769508721085000000,1769508781090000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1769508721085000000,1769508781090000000,0
