# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
lexer.RELAX-NG.size.bytes,1769789896726000000,1769789956730000000,234
writeAction.median.wait.ms,1769789896726000000,1769789956730000000,0
parser.HTML.size.bytes,1769789896726000000,1769789956730000000,3510
lexer.HTML.time.ns,1769789896726000000,1769789956730000000,37782561
parser.Python.time.ns,1769789896726000000,1769789956730000000,220677050
writeAction.count,1769789896726000000,1769789956730000000,16
lexer.Requirements.size.bytes,1769789896726000000,1769789956730000000,26
parser.RELAX-NG.time.ns,1769789896726000000,1769789956730000000,2017681
parser.Python.size.bytes,1769789896726000000,1769789956730000000,81595
lexer.Python.time.ns,1769789896726000000,1769789956730000000,57876354
writeAction.wait.ms,1769789896726000000,1769789956730000000,70
lexer.Python.size.bytes,1769789896726000000,1769789956730000000,81595
parser.HTML.time.ns,1769789896726000000,1769789956730000000,24493069
parser.Requirements.size.bytes,1769789896726000000,1769789956730000000,26
DiskQueryRelay.tasksRequested,1769789896726000000,1769789956730000000,2288
lexer.RELAX-NG.time.ns,1769789896726000000,1769789956730000000,1515525
parser.Requirements.time.ns,1769789896726000000,1769789956730000000,6078378
lexer.Requirements.time.ns,1769789896726000000,1769789956730000000,221459
DiskQueryRelay.taskExecutionTotalTimeUs,1769789896726000000,1769789956730000000,265961
lexer.HTML.size.bytes,1769789896726000000,1769789956730000000,3510
DiskQueryRelay.tasksExecuted,1769789896726000000,1769789956730000000,2288
parser.RELAX-NG.size.bytes,1769789896726000000,1769789956730000000,234
writeAction.max.wait.ms,1769789896726000000,1769789956730000000,69
DiskQueryRelay.taskWaitingTotalTimeUs,1769789896726000000,1769789956730000000,494682
JVM.usedHeapBytes,1769789896726000000,1769789956730000000,543316640
JVM.maxThreadCount,1769789896726000000,1769789956730000000,149
JVM.totalSafepointCount,1769789896726000000,1769789956730000000,208
JVM.threadCount,1769789896726000000,1769789956730000000,147
JVM.totalTimeToSafepointsMs,1769789896726000000,1769789956730000000,38
JVM.totalTimeAtSafepointsMs,1769789896726000000,1769789956730000000,272
JVM.totalCpuTimeMs,1769789896726000000,1769789956730000000,50730
OS.loadAverage,1769789896726000000,1769789956730000000,1.625
JVM.GC.collections,1769789896726000000,1769789956730000000,34
JVM.newThreadsCount,1769789896726000000,1769789956730000000,155
JVM.maxHeapBytes,1769789896726000000,1769789956730000000,4196401152
JVM.GC.collectionTimesMs,1769789896726000000,1769789956730000000,237
JVM.totalBytesAllocated,1769789896726000000,1769789956730000000,2008100848
JVM.usedNativeBytes,1769789896726000000,1769789956730000000,359622336
JVM.totalDirectByteBuffersBytes,1769789896726000000,1769789956730000000,155788563
FilePageCacheLockFree.housekeeperTurnsSkipped,1769789896726000000,1769789956730000000,0
FilePageCache.capacityInBytes,1769789896726000000,1769789956730000000,503316478
FilePageCache.pageLoads,1769789896726000000,1769789956730000000,150
FilePageCache.maxCacheSizeInBytes,1769789896726000000,1769789956730000000,152059904
FilePageCacheLockFree.totalClosedStoragesReclaimed,1769789896726000000,1769789956730000000,0
FilePageCacheLockFree.totalPagesHandedOver,1769789896726000000,1769789956730000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1769789896726000000,1769789956730000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1769789896726000000,1769789956730000000,152059904
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1769789896726000000,1769789956730000000,36511513
FilePageCacheLockFree.housekeeperTimeSpentMs,1769789896726000000,1769789956730000000,0
FilePageCacheLockFree.totalPagesWritten,1769789896726000000,1769789956730000000,0
StorageLockContext.competingThreads.avg,1769789896726000000,1769789956730000000,0.0
FilePageCacheLockFree.totalBytesWritten,1769789896726000000,1769789956730000000,0
FilePageCache.pageFastCacheHits,1769789896726000000,1769789956730000000,13829
FilePageCacheLockFree.totalPageAllocationsWaited,1769789896726000000,1769789956730000000,0
FilePageCacheLockFree.totalPagesReclaimed,1769789896726000000,1769789956730000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1769789896726000000,1769789956730000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1769789896726000000,1769789956730000000,0
FilePageCache.maxRegisteredFiles,1769789896726000000,1769789956730000000,252
MappedFileStorage.totalBytesMapped,1769789896726000000,1769789956730000000,261357568
StorageLockContext.competingThreads.90P,1769789896726000000,1769789956730000000,0
FilePageCacheLockFree.totalPagesReadMs,1769789896726000000,1769789956730000000,0
FilePageCache.totalPageDisposalsUs,1769789896726000000,1769789956730000000,900
DirectByteBufferAllocator.disposed,1769789896726000000,1769789956730000000,0
StreamlinedBlobStorage.recordsRelocated,1769789896726000000,1769789956730000000,0
FilePageCacheLockFree.totalBytesRead,1769789896726000000,1769789956730000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1769789896726000000,1769789956730000000,71268684
FilePageCache.disposedBuffers,1769789896726000000,1769789956730000000,3
FilePageCache.pageLoadsAboveSizeThreshold,1769789896726000000,1769789956730000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1769789896726000000,1769789956730000000,12753
MappedFileStorage.totalPagesMapped,1769789896726000000,1769789956730000000,21
FilePageCacheLockFree.totalPagesRequestsMs,1769789896726000000,1769789956730000000,0
DirectByteBufferAllocator.reclaimed,1769789896726000000,1769789956730000000,3
FilePageCacheLockFree.heapBytesInUse,1769789896726000000,1769789956730000000,0
StorageLockContext.competingThreads.max,1769789896726000000,1769789956730000000,0
FilePageCacheLockFree.nativeBytesInUse,1769789896726000000,1769789956730000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1769789896726000000,1769789956730000000,0
FilePageCacheLockFree.totalBytesRequested,1769789896726000000,1769789956730000000,0
MappedFileStorage.storages,1769789896726000000,1769789956730000000,16
FilePageCacheLockFree.totalPagesAllocated,1769789896726000000,1769789956730000000,0
FilePageCache.pageHits,1769789896726000000,1769789956730000000,54
FilePageCacheLockFree.totalPagesRequested,1769789896726000000,1769789956730000000,0
DirectByteBufferAllocator.hits,1769789896726000000,1769789956730000000,3
FilePageCacheLockFree.totalNativeBytesReclaimed,1769789896726000000,1769789956730000000,0
StreamlinedBlobStorage.recordsAllocated,1769789896726000000,1769789956730000000,769398
FilePageCache.totalPageLoadsUs,1769789896726000000,1769789956730000000,239482
DirectByteBufferAllocator.misses,1769789896726000000,1769789956730000000,147
FilePageCache.uncachedFileAccess,1769789896726000000,1769789956730000000,106
FilePageCacheLockFree.totalNativeBytesAllocated,1769789896726000000,1769789956730000000,0
StreamlinedBlobStorage.recordsDeleted,1769789896726000000,1769789956730000000,59
FilePageCacheLockFree.totalHeapBytesAllocated,1769789896726000000,1769789956730000000,0
FilePageCacheLockFree.totalPagesWriteMs,1769789896726000000,1769789956730000000,0
AWTEventQueue.dispatchTimeAvgNs,1769789896726000000,1769789956730000000,277795.2634725701
FlushQueue.queueSizeAvg,1769789896726000000,1769789956730000000,13.961595935445308
FlushQueue.executionTimeAvgNs,1769789896726000000,1769789956730000000,338378.41228332336
NonBlockingReadAction.finalizedExecutionTimeUs,1769789896726000000,1769789956730000000,568476
FlushQueue.waitingTime90PNs,1769789896726000000,1769789956730000000,63963135
FlushQueue.waitingTimeMaxNs,1769789896726000000,1769789956730000000,868220927
NonBlockingReadAction.finalizedExecutionsCount,1769789896726000000,1769789956730000000,1395
NonBlockingReadAction.failedExecutionTimeUs,1769789896726000000,1769789956730000000,41659
FlushQueue.queueSize90P,1769789896726000000,1769789956730000000,76
WriteAction.executionsCount,1769789896726000000,1769789956730000000,16
ReadAction.executionsCount,1769789896726000000,1769789956730000000,351897
AWTEventQueue.dispatchTime90PNs,1769789896726000000,1769789956730000000,258047
AWTEventQueue.dispatchTimeMaxNs,1769789896726000000,1769789956730000000,352321535
FlushQueue.tasksExecuted,1769789896726000000,1769789956730000000,6692
NonBlockingReadAction.failedExecutionsCount,1769789896726000000,1769789956730000000,3
AWTEventQueue.eventsDispatched,1769789896726000000,1769789956730000000,24754
