# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.counter,1769703631123000000,1769703691193000000,4
cacheStateStorage.get.duration,1769703631123000000,1769703691193000000,131
cacheStateStorage.get.counter,1769703631123000000,1769703691193000000,88
cacheStateStorage.set.duration,1769703631123000000,1769703691193000000,18
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1769703631123000000,1769703691193000000,0
jps.save.changed.project.entities.ms,1769703631123000000,1769703691193000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1769703631123000000,1769703691193000000,0
jps.storage.jps.conf.reader.load.component.ms,1769703631123000000,1769703691193000000,4
jps.global.get.library.by.name.ms,1769703631123000000,1769703691193000000,0
jps.artifact.entities.serializer.load.entities.ms,1769703631123000000,1769703691193000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1769703631123000000,1769703691193000000,1
jps.apply.loaded.storage.ms,1769703631123000000,1769703691193000000,12
workspaceModel.delayed.project.synchronizer.sync.ms,1769703631123000000,1769703691193000000,44
workspaceModel.mutableEntityStorage.replace.by.source.ms,1769703631123000000,1769703691193000000,10
workspaceModel.mutableEntityStorage.collect.changes.ms,1769703631123000000,1769703691193000000,1
jps.global.get.libraries.ms,1769703631123000000,1769703691193000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1769703631123000000,1769703691193000000,2
workspaceModel.moduleManagerBridge.build.module.graph.ms,1769703631123000000,1769703691193000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1769703631123000000,1769703691193000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1769703631123000000,1769703691193000000,0
jps.save.global.entities.ms,1769703631123000000,1769703691193000000,0
jps.project.serializers.save.ms,1769703631123000000,1769703691193000000,0
jps.module.iml.entities.serializer.save.entities.ms,1769703631123000000,1769703691193000000,0
workspaceModel.load.cache.from.file.ms,1769703631123000000,1769703691193000000,100
workspaceModel.sync.entities.ms,1769703631123000000,1769703691193000000,0
workspaceModel.do.save.caches.ms,1769703631123000000,1769703691193000000,36
workspaceModel.global.updates.ms,1769703631123000000,1769703691193000000,5
jps.library.entities.serializer.save.entities.ms,1769703631123000000,1769703691193000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1769703631123000000,1769703691193000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1769703631123000000,1769703691193000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1769703631123000000,1769703691193000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1769703631123000000,1769703691193000000,0
jps.facet.change.listener.process.change.events.ms,1769703631123000000,1769703691193000000,0
workspaceModel.moduleBridge.before.changed.ms,1769703631123000000,1769703691193000000,0
jps.facet.change.listener.before.change.events.ms,1769703631123000000,1769703691193000000,0
workspaceModel.orphan.listener.update.ms,1769703631123000000,1769703691193000000,1
workspaceModel.load.cache.metadata.from.file.ms,1769703631123000000,1769703691193000000,13
workspaceModel.moduleManagerBridge.get.modules.ms,1769703631123000000,1769703691193000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1769703631123000000,1769703691193000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1769703631123000000,1769703691193000000,2
jps.global.initialize.library.bridges.after.loading.ms,1769703631123000000,1769703691193000000,0
workspaceModel.mutableEntityStorage.entities.ms,1769703631123000000,1769703691193000000,0
jps.global.get.library.ms,1769703631123000000,1769703691193000000,0
workspaceModel.global.apply.state.to.project.ms,1769703631123000000,1769703691193000000,40
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1769703631123000000,1769703691193000000,4
jps.global.handle.before.change.events.ms,1769703631123000000,1769703691193000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1769703631123000000,1769703691193000000,0
jps.project.serializers.load.ms,1769703631123000000,1769703691193000000,25
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1769703631123000000,1769703691193000000,1
jps.load.initial.state.ms,1769703631123000000,1769703691193000000,56
jps.load.project.to.empty.storage.ms,1769703631123000000,1769703691193000000,31
workspaceModel.mutableEntityStorage.resolve.ms,1769703631123000000,1769703691193000000,0
workspaceModel.mutableEntityStorage.instances.count,1769703631123000000,1769703691193000000,27
workspaceModel.moduleBridge.facet.initialization.ms,1769703631123000000,1769703691193000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1769703631123000000,1769703691193000000,31
jps.global.initialize.library.bridges.ms,1769703631123000000,1769703691193000000,0
workspaceModel.global.updates.count,1769703631123000000,1769703691193000000,1
workspaceModel.save.cache.to.file.ms,1769703631123000000,1769703691193000000,39
jps.library.entities.serializer.load.entities.ms,1769703631123000000,1769703691193000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1769703631123000000,1769703691193000000,19
jps.artifact.entities.serializer.save.entities.ms,1769703631123000000,1769703691193000000,0
jps.facet.change.listener.init.bridge.ms,1769703631123000000,1769703691193000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1769703631123000000,1769703691193000000,3
workspaceModel.moduleBridge.update.option.ms,1769703631123000000,1769703691193000000,0
jps.app.storage.content.reader.load.component.ms,1769703631123000000,1769703691193000000,6
jps.global.handle.changed.events.ms,1769703631123000000,1769703691193000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1769703631123000000,1769703691193000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1769703631123000000,1769703691193000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1769703631123000000,1769703691193000000,420
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1769703631123000000,1769703691193000000,0
jps.reload.project.entities.ms,1769703631123000000,1769703691193000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1769703631123000000,1769703691193000000,0
